time, S, I, R
14.4,145.964,27.6694,26.3661
14.45,145.762,27.733,26.5046
14.5,145.56,27.7964,26.6434
14.55,145.358,27.8596,26.7826
14.6,145.155,27.9227,26.922
14.65,144.953,27.9857,27.0618
14.7,144.75,28.0485,27.2019
14.75,144.547,28.1112,27.3423
14.8,144.343,28.1738,27.483
14.85,144.14,28.2361,27.624
14.9,143.936,28.2984,27.7653
14.95,143.733,28.3605,27.907
15,143.529,28.4224,28.0489
15.05,143.325,28.4842,28.1912
15.1,143.12,28.5458,28.3338
15.15,142.916,28.6073,28.4767
15.2,142.712,28.6686,28.6199
15.25,142.507,28.7297,28.7634
15.3,142.302,28.7907,28.9072
15.35,142.097,28.8515,29.0513
15.4,141.892,28.9122,29.1957
15.45,141.687,28.9726,29.3404
15.5,141.482,29.0329,29.4854
15.55,141.276,29.0931,29.6307
15.6,141.071,29.153,29.7763
15.65,140.865,29.2128,29.9222
15.7,140.659,29.2724,30.0685
15.75,140.453,29.3318,30.215
15.8,140.247,29.3911,30.3618
15.85,140.041,29.4501,30.5089
15.9,139.835,29.509,30.6563
15.95,139.628,29.5677,30.804
16,139.422,29.6262,30.952
16.05,139.215,29.6845,31.1002
16.1,139.009,29.7426,31.2488
16.15,138.802,29.8005,31.3977
16.2,138.595,29.8582,31.5468
16.25,138.388,29.9157,31.6962
16.3,138.181,29.973,31.846
16.35,137.974,30.0302,31.996
16.4,137.767,30.0871,32.1463
16.45,137.559,30.1438,32.2968
16.5,137.352,30.2003,32.4477
16.55,137.145,30.2566,32.5988
16.6,136.937,30.3127,32.7503
16.65,136.729,30.3685,32.902
16.7,136.522,30.4242,33.054
16.75,136.314,30.4797,33.2062
16.8,136.106,30.5349,33.3587
16.85,135.899,30.5899,33.5116
16.9,135.691,30.6447,33.6646
16.95,135.483,30.6993,33.818
17,135.275,30.7536,33.9716
17.05,135.067,30.8078,34.1255
17.1,134.859,30.8617,34.2797
17.15,134.65,30.9153,34.4342
17.2,134.442,30.9688,34.5889
17.25,134.234,31.022,34.7438
17.3,134.026,31.075,34.8991
17.35,133.818,31.1277,35.0546
17.4,133.609,31.1803,35.2104
17.45,133.401,31.2325,35.3664
17.5,133.193,31.2846,35.5227
17.55,132.984,31.3364,35.6792
17.6,132.776,31.3879,35.8361
17.65,132.568,31.4393,35.9931
17.7,132.359,31.4903,36.1504
17.75,132.151,31.5412,36.308
17.8,131.942,31.5917,36.4659
17.85,131.734,31.6421,36.6239
17.9,131.526,31.6922,36.7823
17.95,131.317,31.742,36.9409
18,131.109,31.7916,37.0997
18.05,130.9,31.8409,37.2588
18.1,130.692,31.8899,37.4181
18.15,130.484,31.9388,37.5777
18.2,130.275,31.9873,37.7375
18.25,130.067,32.0356,37.8975
18.3,129.859,32.0836,38.0578
18.35,129.65,32.1314,38.2184
18.4,129.442,32.1789,38.3792
18.45,129.234,32.2261,38.5402
18.5,129.025,32.2731,38.7014
18.55,128.817,32.3198,38.8629
18.6,128.609,32.3662,39.0246
18.65,128.401,32.4124,39.1866
18.7,128.193,32.4583,39.3487
18.75,127.985,32.5039,39.5111
18.8,127.777,32.5493,39.6738
18.85,127.569,32.5943,39.8366
18.9,127.361,32.6391,39.9997
18.95,127.153,32.6836,40.163
19,126.946,32.7279,40.3266
19.05,126.738,32.7718,40.4903
19.1,126.53,32.8155,40.6543
19.15,126.323,32.8589,40.8185
19.2,126.115,32.902,40.9829
19.25,125.908,32.9448,41.1475
19.3,125.7,32.9873,41.3123
19.35,125.493,33.0296,41.4774
19.4,125.286,33.0715,41.6426
19.45,125.079,33.1132,41.8081
19.5,124.872,33.1546,41.9737
19.55,124.665,33.1957,42.1396
19.6,124.458,33.2365,42.3057
19.65,124.251,33.277,42.472
19.7,124.044,33.3172,42.6385
19.75,123.838,33.3571,42.8052
19.8,123.631,33.3967,42.972
19.85,123.425,33.436,43.1391
19.9,123.219,33.475,43.3064
19.95,123.012,33.5137,43.4739
20,122.806,33.5521,43.6415
20.05,122.6,33.5902,43.8094
20.1,122.395,33.628,43.9774
20.15,122.189,33.6655,44.1457
20.2,121.983,33.7027,44.3141
20.25,121.778,33.7396,44.4827
20.3,121.572,33.7762,44.6515
20.35,121.367,33.8125,44.8205
20.4,121.162,33.8485,44.9896
20.45,120.957,33.8841,45.1589
20.5,120.752,33.9195,45.3284
20.55,120.547,33.9545,45.4981
20.6,120.343,33.9892,45.668
20.65,120.138,34.0236,45.838
20.7,119.934,34.0577,46.0082
20.75,119.73,34.0915,46.1786
20.8,119.526,34.125,46.3491
20.85,119.322,34.1582,46.5199
20.9,119.118,34.191,46.6907
20.95,118.915,34.2235,46.8618
21,118.711,34.2557,47.033
21.05,118.508,34.2876,47.2043
21.1,118.305,34.3192,47.3758
21.15,118.102,34.3505,47.5475
21.2,117.899,34.3814,47.7193
21.25,117.697,34.412,47.8913
21.3,117.494,34.4423,48.0635
21.35,117.292,34.4722,48.2357
21.4,117.09,34.5019,48.4082
21.45,116.888,34.5312,48.5808
21.5,116.686,34.5602,48.7535
21.55,116.485,34.5889,48.9264
21.6,116.283,34.6172,49.0994
21.65,116.082,34.6452,49.2725
21.7,115.881,34.6729,49.4458
21.75,115.68,34.7003,49.6193
21.8,115.48,34.7274,49.7928
21.85,115.279,34.7541,49.9665
21.9,115.079,34.7805,50.1404
21.95,114.879,34.8065,50.3143
22,114.679,34.8322,50.4884
22.05,114.48,34.8576,50.6627
22.1,114.28,34.8827,50.837
22.15,114.081,34.9075,51.0115
22.2,113.882,34.9319,51.1861
22.25,113.683,34.956,51.3608
22.3,113.485,34.9797,51.5356
22.35,113.286,35.0031,51.7106
22.4,113.088,35.0262,51.8857
